date,produit,prix_usd_tonne,stabilite_politique,politique_commerciale,subventions_agricoles,pib_mondial_growth,inflation_us,taux_change_usd_eur,demande_mondiale,croissance_population,urbanisation_pct,revenu_moyen,investissement_agritech,rendement_agricole_index,adoption_irrigation,anomalie_temperature,precipitations_index,superficie_cultivee_mha,indice_secheresse,reglementation_export,normes_phytosanitaires,accord_commerce_international
2020-04,Coton,95.76,5.42,4.73,6.42,2.67,2.82,1.137,6.7,1.1,55.04,12605.0,3.32,103.19,43.24,1.02,109.3,33.46,4.86,3.98,5.57,2.84
2020-05,Cacao,2459.07,5.69,3.79,6.29,2.51,3.17,1.1617,6.01,1.09,55.26,12426.0,4.67,105.78,42.48,-0.35,120.5,10.83,4.99,5.14,5.94,5.67
2020-05,Café,1995.25,5.24,3.91,5.81,2.34,2.23,1.1681,6.85,1.14,55.09,13166.0,5.32,104.28,39.79,-0.65,113.77,9.54,4.88,6.09,5.56,6.41
2020-05,Maïs,323.72,4.75,2.59,5.86,2.18,2.64,1.0888,6.22,1.19,55.08,12695.0,3.59,104.96,41.82,1.59,111.66,196.81,5.17,4.49,5.63,4.36
2020-05,Soja,452.3,5.45,4.38,5.74,2.62,3.45,1.1183,7.2,1.09,55.19,13235.0,4.41,106.06,44.95,-1.3,110.8,126.74,4.23,3.23,6.21,4.71
2020-05,Coton,92.16,5.22,3.2,5.51,2.32,2.34,1.1364,6.32,1.06,55.35,12598.0,4.33,104.76,43.03,0.42,93.07,32.81,5.04,5.64,5.53,4.19
2020-06,Cacao,2796.03,5.35,3.91,6.23,2.66,3.07,1.1494,6.47,1.06,55.45,13151.0,4.3,104.55,41.53,0.68,102.75,12.46,4.46,3.94,6.28,4.16
2020-06,Café,1943.43,5.97,3.59,6.22,2.31,3.3,1.1606,6.67,1.11,55.26,12835.0,4.65,104.77,43.37,-1.04,113.1,9.65,4.39,4.85,5.46,4.84
2020-06,Maïs,316.12,5.42,3.01,5.53,2.54,1.83,1.1516,6.73,1.08,55.35,12936.0,4.58,106.44,43.06,-0.5,106.68,197.09,5.71,4.68,5.78,2.96
2020-06,Soja,416.25,5.61,2.64,5.38,1.99,2.35,1.1593,5.74,1.01,55.55,12832.0,4.62,105.91,42.97,-0.99,110.05,127.25,4.64,3.56,6.64,3.5
2020-06,Coton,89.26,5.45,5.03,6.13,2.48,3.07,1.1909,7.09,1.13,55.16,13650.0,3.8,104.24,40.9,1.35,115.5,32.29,5.06,5.55,6.07,2.54
2020-07,Cacao,2584.48,5.3,4.02,5.74,2.9,2.47,1.1205,6.09,1.17,55.41,13518.0,4.71,103.85,41.0,0.25,101.11,13.19,4.46,5.68,6.82,3.87
2020-07,Café,1829.84,5.38,4.36,6.44,2.69,2.29,1.1559,6.13,0.99,55.37,12764.0,4.76,108.52,49.08,-0.4,108.21,10.34,5.48,4.58,6.18,6.65
2020-07,Maïs,304.15,5.27,4.12,6.29,2.37,2.75,1.1318,6.32,1.19,55.81,13031.0,4.0,105.13,46.65,-0.39,127.39,196.31,4.81,6.74,5.43,5.43
2020-07,Soja,424.28,5.47,3.83,6.41,1.73,2.08,1.1438,6.48,1.06,55.52,12813.0,4.27,104.33,44.23,0.52,127.21,126.67,4.79,5.05,6.12,3.94
2020-07,Coton,84.58,5.7,3.08,5.52,2.2,3.31,1.1523,7.04,1.11,55.07,12833.0,4.85,104.45,40.23,-0.09,111.11,32.49,4.79,4.52,5.2,4.6
2020-08,Cacao,2585.82,6.24,2.85,5.21,3.12,2.27,1.1491,6.83,1.08,55.17,13238.0,4.44,108.33,45.77,2.5,97.89,11.99,4.44,6.15,6.6,4.9
2020-08,Café,1846.14,5.21,1.97,6.85,2.92,2.8,1.1805,6.9,1.15,55.18,13057.0,4.63,106.93,46.87,-0.74,115.62,11.1,5.32,5.87,6.26,4.92
2020-08,Maïs,331.4,5.64,5.22,5.56,2.94,3.26,1.1468,7.08,1.07,55.43,13200.0,5.5,106.86,46.81,-0.52,115.12,196.41,4.69,5.84,6.25,5.74
2020-08,Soja,460.32,5.49,5.28,5.68,2.31,3.42,1.1701,5.44,1.1,55.55,13549.0,4.17,105.53,41.27,-0.78,107.34,126.28,4.46,3.39,5.67,2.13
2020-08,Coton,88.92,5.24,2.77,6.24,2.75,2.73,1.1526,7.32,1.11,55.81,12683.0,4.21,103.14,42.72,0.37,107.6,33.26,4.46,5.58,5.65,3.69
2020-09,Cacao,2736.64,5.92,3.87,6.97,2.72,2.77,1.113,7.48,1.08,55.4,13614.0,5.22,107.36,40.2,0.41,109.45,11.41,5.51,2.87,6.53,4.55
2020-09,Café,2091.17,5.82,1.94,5.58,2.87,3.09,1.1878,5.61,1.08,56.04,13659.0,5.53,106.61,47.79,1.44,127.65,10.36,5.4,4.21,5.72,5.18
2020-09,Maïs,300.78,5.64,3.42,5.8,2.92,2.54,1.1695,6.71,1.1,55.53,13507.0,5.54,106.3,48.2,0.79,89.13,196.62,4.67,5.78,6.38,4.57
2020-09,Soja,477.85,5.2,3.25,5.39,2.8,2.9,1.1716,6.23,1.15,56.03,13659.0,4.96,107.48,46.52,0.56,109.15,127.64,5.84,6.98,6.31,4.39
2020-09,Coton,92.54,5.65,4.62,5.94,2.79,3.65,1.1715,6.62,1.14,55.8,13408.0,4.57,105.37,44.41,-0.83,117.77,32.41,5.44,5.75,6.41,3.88
2020-10,Cacao,2730.94,4.74,2.9,5.93,3.03,2.97,1.1539,6.72,1.08,55.51,13566.0,4.56,109.79,47.0,0.67,120.05,11.58,4.53,3.53,7.48,2.7
2020-10,Café,1872.32,5.54,3.72,5.71,2.37,2.6,1.1462,6.59,1.07,55.63,13543.0,4.38,109.4,43.84,0.26,103.58,10.33,4.79,5.41,6.47,3.79
2020-10,Maïs,307.24,5.53,5.35,6.47,3.07,2.53,1.152,6.32,1.09,55.97,13321.0,5.26,108.01,38.96,-0.3,90.98,196.62,4.72,4.39,6.2,3.53
2020-10,Soja,450.49,6.47,5.21,5.43,3.3,2.35,1.1577,7.42,0.99,56.01,13249.0,4.59,107.73,50.09,-0.57,116.14,127.31,4.87,4.18,6.31,4.11
2020-10,Coton,93.87,5.25,3.55,6.16,2.88,2.93,1.1737,6.31,1.06,55.97,13281.0,5.25,108.33,41.17,0.31,118.5,33.38,5.57,4.63,6.05,3.27
2020-11,Cacao,2550.25,5.41,4.28,6.01,2.86,2.75,1.1863,6.47,1.05,55.87,13597.0,4.2,110.04,48.04,0.12,119.13,12.26,4.98,5.89,7.03,4.1
2020-11,Café,1910.15,6.22,3.66,5.44,3.28,2.42,1.2151,7.15,1.11,55.93,14000.0,4.26,107.06,43.71,-0.12,107.76,10.08,5.07,4.19,7.01,2.33
2020-11,Maïs,284.0,5.97,3.79,6.21,2.82,2.64,1.1664,6.38,1.13,55.77,13802.0,5.03,110.36,48.2,0.72,125.52,196.74,4.87,3.17,6.48,3.19
2020-11,Soja,468.53,6.05,2.65,5.49,2.9,2.84,1.1827,6.14,1.1,55.41,13219.0,5.09,106.84,43.82,-1.04,103.74,126.8,4.79,5.98,6.55,3.69
2020-11,Coton,92.43,6.34,4.41,5.8,3.31,3.76,1.1926,7.6,1.15,56.17,13432.0,4.18,108.73,40.49,-0.38,126.5,32.67,5.27,3.65,6.17,5.23
2020-12,Cacao,2673.25,5.99,5.7,6.65,2.81,3.63,1.1718,6.77,1.1,56.32,13574.0,5.03,110.39,48.43,-0.07,128.67,11.64,5.57,5.35,5.84,4.49
2020-12,Café,1861.48,5.67,3.26,5.88,2.64,3.78,1.1616,6.45,1.16,56.18,13944.0,5.56,109.13,42.86,0.78,126.6,9.84,4.37,6.24,6.63,2.35
2020-12,Maïs,309.73,5.13,3.52,5.44,2.88,2.77,1.1719,7.14,1.11,56.19,14018.0,4.61,109.72,47.61,1.47,127.63,197.69,5.51,6.06,5.69,5.06
2020-12,Soja,460.55,5.87,3.47,5.79,3.2,3.44,1.1542,6.89,1.07,55.71,13879.0,4.64,108.61,43.69,0.33,118.54,126.45,4.58,4.82,6.56,2.74
2020-12,Coton,90.16,5.43,6.73,5.53,2.84,3.18,1.1661,7.19,1.19,55.88,13835.0,4.54,109.6,50.3,0.82,109.6,33.77,5.58,5.49,6.14,4.08
2021-01,Cacao,2527.59,6.14,3.68,4.88,3.42,3.23,1.2099,6.77,1.11,56.42,14028.0,5.01,115.22,45.99,0.24,136.61,11.6,4.47,3.57,6.65,4.75
2021-01,Café,1883.36,5.23,5.01,6.6,3.11,3.16,1.2019,7.02,1.13,55.76,13915.0,4.26,111.35,48.09,0.03,122.24,9.22,5.42,4.53,6.48,5.34
2021-01,Maïs,284.55,6.51,4.12,6.01,3.31,2.65,1.2002,6.87,1.15,56.02,13877.0,5.05,110.31,42.98,-0.05,131.95,196.95,4.56,5.72,5.69,1.46
2021-01,Soja,451.05,6.0,4.22,5.55,3.1,2.59,1.1927,6.03,1.09,56.16,13599.0,4.61,111.58,51.15,-1.09,122.67,126.38,4.32,6.6,6.7,3.03
2021-01,Coton,87.73,6.23,4.18,7.12,3.32,1.95,1.1825,6.47,1.09,56.09,13820.0,4.32,112.45,48.29,-0.43,126.07,33.34,5.63,3.94,6.75,3.27
2021-02,Cacao,2732.56,5.87,1.73,6.02,2.67,3.11,1.1908,6.7,1.03,55.83,13931.0,4.81,113.13,49.13,-0.26,132.45,11.32,5.33,4.82,6.56,4.77
2021-02,Café,1724.34,6.37,3.99,7.21,3.11,3.71,1.2049,6.31,1.17,55.85,13654.0,5.36,112.8,47.16,-0.09,135.55,10.36,4.66,5.73,5.97,3.33
2021-02,Maïs,276.34,4.87,2.82,6.61,2.88,2.98,1.1687,7.33,1.1,56.31,14079.0,4.35,109.74,49.51,0.07,127.45,195.42,5.54,4.51,7.34,3.39
2021-02,Soja,446.14,6.3,3.12,6.44,3.01,3.72,1.2078,7.15,1.06,56.1,14160.0,3.92,110.37,49.81,-0.9,132.5,126.69,5.14,3.85,6.66,4.56
2021-02,Coton,90.22,6.64,5.25,6.1,2.84,3.73,1.1659,6.68,1.14,56.3,14419.0,4.93,108.66,46.17,0.26,116.2,33.71,4.86,3.56,6.65,2.62
2021-03,Cacao,2766.68,6.16,2.6,6.54,3.97,2.45,1.213,7.2,1.11,56.35,14348.0,4.65,114.12,43.45,1.69,135.23,11.41,4.97,6.42,6.3,3.81
2021-03,Café,1716.99,6.61,3.39,6.0,3.42,3.17,1.1776,6.29,1.02,55.9,13906.0,4.64,112.45,47.66,-0.54,109.77,9.5,4.27,3.76,6.79,2.31
2021-03,Maïs,286.99,5.71,6.43,5.1,3.32,3.12,1.1795,7.12,1.11,55.93,14335.0,5.19,113.96,45.67,1.3,117.98,196.01,5.23,4.92,6.15,5.12
2021-03,Soja,429.68,6.53,3.92,6.38,3.47,3.44,1.1743,7.42,1.1,56.85,14346.0,5.38,110.85,46.28,0.2,108.25,126.41,4.91,4.92,6.58,5.34
2021-03,Coton,82.22,6.36,3.86,5.9,3.34,2.42,1.1962,6.64,1.05,55.68,14161.0,4.06,113.31,46.78,-1.22,113.21,33.38,4.67,4.72,6.35,3.85
2021-04,Cacao,2327.14,6.05,3.44,7.48,3.25,3.12,1.217,6.94,1.11,56.07,14711.0,4.75,113.36,51.4,-0.11,119.99,12.29,5.29,3.91,6.61,2.87
2021-04,Café,1653.94,5.75,5.22,6.8,4.1,3.28,1.1804,6.53,1.18,55.87,14337.0,4.78,115.42,44.96,1.01,133.13,9.92,5.18,3.46,6.5,3.74
2021-04,Maïs,246.32,6.28,4.36,5.15,2.89,3.0,1.1866,6.86,1.05,56.03,14461.0,4.83,112.64,47.31,0.5,118.45,197.43,5.0,5.89,7.03,2.25
2021-04,Soja,452.95,6.97,3.03,5.98,3.21,3.48,1.2076,6.68,1.17,56.08,14372.0,5.58,115.73,46.46,0.76,122.19,126.21,4.47,3.8,6.33,3.5
2021-04,Coton,82.57,6.71,4.42,7.33,3.24,3.62,1.2055,7.77,1.08,56.59,14726.0,4.71,112.69,49.51,-0.21,111.24,33.92,4.83,6.73,6.33,3.75
2021-05,Cacao,2596.74,6.02,3.1,5.64,3.44,3.08,1.2006,5.95,1.07,56.36,14447.0,4.64,112.27,48.71,1.33,105.85,11.86,5.41,5.33,6.53,3.46
2021-05,Café,1691.41,6.08,1.81,5.64,2.77,3.87,1.2153,6.68,1.14,57.15,14425.0,5.78,114.14,47.79,-0.74,114.27,9.8,3.76,5.53,6.44,4.55
2021-05,Maïs,272.43,7.63,2.34,5.53,3.57,4.29,1.179,7.99,1.05,56.8,14565.0,6.25,116.27,46.56,2.49,108.59,196.84,5.83,4.27,6.31,4.16
2021-05,Soja,437.38,6.32,3.25,6.1,3.55,3.95,1.2054,6.45,1.1,56.23,14814.0,4.3,114.44,45.3,1.16,127.54,127.11,5.18,4.66,6.84,3.94
2021-05,Coton,84.16,6.16,1.52,5.74,3.81,3.93,1.2009,7.01,1.08,56.61,14666.0,4.64,114.59,52.2,-0.62,117.96,33.23,5.28,4.58,6.36,3.44
2021-06,Cacao,2520.67,6.39,3.98,5.32,3.07,3.65,1.1753,7.24,1.08,56.32,14705.0,6.04,114.83,48.11,-1.03,124.6,12.57,5.2,6.17,6.79,2.44
2021-06,Café,1657.94,6.44,4.72,5.75,3.38,3.55,1.2252,7.63,1.13,56.62,14495.0,4.65,114.26,52.12,0.47,125.09,9.25,4.16,6.12,6.59,2.42
2021-06,Maïs,286.92,6.3,6.95,6.63,3.5,3.34,1.2044,7.08,1.03,56.78,14755.0,3.82,113.45,46.51,0.93,119.04,197.74,4.1,3.92,7.03,3.21
2021-06,Soja,400.52,5.91,3.24,6.27,3.73,2.77,1.1939,7.14,1.1,56.75,14724.0,4.91,112.73,43.53,-0.15,119.62,127.46,4.7,7.32,6.57,3.42
2021-06,Coton,81.38,5.69,4.21,4.97,3.6,3.43,1.204,7.21,1.04,56.23,15013.0,5.45,113.5,50.26,0.48,139.02,33.56,5.1,4.55,7.31,3.88
2021-07,Cacao,2348.41,5.61,3.14,5.82,3.66,3.82,1.223,7.26,1.14,57.26,15032.0,6.07,112.93,47.27,-0.44,92.16,12.04,5.55,4.46,6.71,2.98
2021-07,Café,1593.18,6.36,2.8,6.59,2.86,3.58,1.1902,7.93,1.14,55.96,14366.0,4.77,114.45,48.93,0.18,125.66,9.32,3.96,5.25,6.49,3.88
2021-07,Maïs,262.44,6.13,5.49,5.19,3.06,3.71,1.2313,7.08,1.04,55.98,14902.0,4.64,118.46,56.52,0.34,123.78,196.94,5.43,5.0,6.66,5.63
2021-07,Soja,431.66,7.29,2.36,5.72,3.16,3.79,1.1901,7.48,1.04,56.56,15309.0,6.09,112.38,50.59,0.82,113.99,126.45,5.19,5.1,6.85,3.81
2021-07,Coton,88.57,5.76,3.5,6.26,3.65,2.9,1.2259,6.45,1.1,56.49,14708.0,5.83,111.68,47.31,-0.56,127.67,33.78,5.25,6.4,5.74,4.2
2021-08,Cacao,2271.91,6.07,4.24,6.05,3.87,2.71,1.1828,6.5,1.02,56.97,15036.0,6.11,117.78,50.2,-0.61,128.1,11.65,4.22,3.85,6.72,5.52
2021-08,Café,1622.21,6.87,4.09,5.79,4.27,4.23,1.2035,6.82,1.02,56.79,14949.0,5.57,116.48,51.31,1.08,121.33,9.64,4.43,5.58,6.24,4.86
2021-08,Maïs,279.01,6.24,3.22,5.11,3.12,2.85,1.2001,7.02,1.05,56.93,15026.0,5.36,116.84,53.11,-1.12,125.25,196.1,4.42,6.01,6.94,4.8
2021-08,Soja,419.22,6.97,2.46,5.85,3.47,4.31,1.2201,7.76,1.06,57.34,15094.0,4.83,119.52,45.72,-0.53,115.85,126.51,5.08,5.28,6.71,6.27
2021-08,Coton,70.83,6.95,3.18,6.73,4.03,4.42,1.1957,6.66,1.12,56.65,14647.0,5.7,114.62,54.33,0.94,115.37,33.02,4.7,4.54,7.91,2.88
2021-09,Cacao,2437.3,6.8,3.62,5.69,3.08,4.03,1.2126,7.52,1.02,56.9,15207.0,5.23,114.73,50.33,-0.52,118.06,12.03,4.61,5.88,6.67,4.63
2021-09,Café,1640.49,6.81,3.04,5.83,3.75,3.61,1.2209,7.66,1.08,57.01,15099.0,5.88,119.58,53.77,2.01,101.75,9.73,4.64,4.6,6.85,3.56
2021-09,Maïs,282.96,6.79,4.41,5.49,3.64,3.82,1.2055,7.3,1.17,56.59,15077.0,5.73,117.6,53.06,-0.05,104.12,196.38,4.56,5.79,7.02,1.82
2021-09,Soja,424.83,6.26,2.96,7.1,3.56,3.88,1.2497,7.0,1.08,57.2,14888.0,5.44,116.87,53.41,0.5,108.13,127.49,5.2,3.95,6.42,3.37
2021-09,Coton,72.25,6.83,3.68,5.86,3.17,3.39,1.2281,7.66,1.02,56.45,15277.0,5.15,115.97,47.92,-0.89,118.22,32.81,5.34,4.93,6.31,4.83
2021-10,Cacao,2593.66,5.97,2.3,5.76,3.09,4.26,1.1688,7.17,1.17,57.09,15197.0,5.08,117.33,50.28,1.38,114.62,11.33,5.22,6.04,6.64,4.93
2021-10,Café,1598.62,5.73,3.92,5.43,3.3,3.22,1.2032,7.43,1.03,56.56,15299.0,5.7,117.71,44.38,1.21,133.89,10.79,5.0,5.67,6.47,4.23
2021-10,Maïs,251.06,6.4,2.57,6.29,3.39,3.91,1.2002,7.11,1.14,56.48,15247.0,5.2,118.72,50.77,0.4,121.42,195.83,4.26,5.12,7.14,4.69
2021-10,Soja,440.84,6.23,4.1,5.75,3.36,3.27,1.1857,7.24,1.07,56.84,14936.0,5.68,117.87,52.34,-0.19,111.09,127.49,4.65,6.99,6.17,3.7
2021-10,Coton,71.99,5.94,3.21,5.76,3.73,3.14,1.2088,6.62,1.08,57.23,15392.0,5.6,118.55,52.73,0.69,130.21,32.48,4.69,5.64,7.03,4.67
2021-11,Cacao,2599.56,6.12,2.65,6.64,3.5,3.43,1.1948,7.17,1.15,57.18,15512.0,5.8,118.45,54.58,-1.7,103.23,11.98,4.47,4.05,7.01,2.83
2021-11,Café,1610.77,6.43,4.06,5.59,3.44,4.14,1.2049,7.87,1.1,56.41,15357.0,5.46,120.35,54.91,0.53,106.35,10.06,4.54,4.76,6.27,4.56
2021-11,Maïs,266.9,6.77,2.54,5.44,4.59,3.3,1.1998,7.61,1.05,57.43,15437.0,5.61,121.13,49.13,-0.2,111.46,196.31,4.81,5.47,6.84,4.79
2021-11,Soja,432.75,6.54,3.76,6.61,3.29,4.21,1.1902,7.77,1.19,56.24,15412.0,5.33,120.96,50.28,2.37,99.64,127.17,4.48,5.51,6.54,3.46
2021-11,Coton,68.97,6.42,2.5,5.35,3.53,3.6,1.2146,6.71,1.12,57.01,15390.0,5.13,118.28,54.15,-0.11,123.39,32.86,5.54,5.03,6.7,2.07
2021-12,Cacao,2291.49,6.59,3.77,6.14,3.29,3.64,1.1785,7.58,1.09,57.56,15462.0,6.16,117.62,50.6,-0.47,126.11,12.22,4.69,5.23,6.37,5.68
2021-12,Café,1719.47,6.38,4.01,6.32,3.45,3.62,1.1811,7.26,1.08,57.22,15534.0,5.39,118.26,47.5,1.45,118.6,10.43,4.35,6.46,6.86,5.74
2021-12,Maïs,268.56,6.38,3.47,6.04,3.57,4.3,1.2217,7.48,1.16,56.18,15506.0,5.72,120.53,53.27,0.16,108.89,196.6,5.57,6.12,7.32,4.01
2021-12,Soja,406.18,6.68,3.98,5.94,3.49,3.45,1.1735,7.31,1.03,57.18,15768.0,5.22,116.46,53.18,0.39,113.71,126.33,3.66,6.71,6.71,4.61
2021-12,Coton,76.64,6.6,2.72,5.78,3.09,3.27,1.1767,6.53,1.08,56.79,15363.0,5.53,119.18,49.49,1.81,120.69,33.56,4.45,5.89,7.11,2.78
2022-01,Cacao,2409.89,7.88,3.59,6.24,3.43,4.08,1.1673,6.98,1.16,57.14,15254.0,5.68,119.73,54.63,0.47,115.39,12.04,4.7,3.85,6.51,2.98
2022-01,Café,1482.63,6.82,5.08,6.31,3.31,3.54,1.1784,8.04,1.13,57.61,15556.0,5.55,118.11,48.25,0.08,108.61,9.74,3.79,5.2,6.72,5.1
2022-01,Maïs,278.87,5.77,4.4,5.7,3.95,3.74,1.1771,7.28,1.02,57.47,16174.0,4.8,119.62,52.17,-0.27,124.14,197.62,4.43,7.07,6.85,3.71
2022-01,Soja,427.63,6.05,5.45,6.31,3.39,3.68,1.169,7.61,1.04,57.08,15647.0,5.95,121.56,54.86,0.11,104.87,126.85,4.55,5.49,6.61,2.84
2022-01,Coton,78.18,7.1,5.87,6.4,3.2,4.31,1.1702,7.1,1.12,56.67,15910.0,5.64,120.6,50.03,0.89,117.1,32.82,5.03,2.34,6.98,3.87
2022-02,Cacao,2433.71,6.53,4.5,5.63,3.44,3.78,1.1906,8.14,1.08,57.56,15639.0,5.88,118.22,53.22,0.79,130.54,12.02,4.12,6.03,6.88,4.12
2022-02,Café,1699.96,6.99,2.27,6.03,3.48,3.37,1.1503,7.49,1.08,56.95,15873.0,5.56,120.83,57.73,0.19,129.11,10.62,4.98,4.27,6.75,2.9
2022-02,Maïs,280.28,6.41,4.44,6.15,3.53,3.66,1.1633,7.3,1.14,57.12,15888.0,6.17,121.53,48.58,0.15,101.6,196.97,4.69,5.51,7.53,3.4
2022-02,Soja,421.31,6.73,4.96,5.48,3.69,4.07,1.1798,7.38,1.14,57.29,15980.0,5.37,118.22,52.72,-0.0,114.89,126.62,4.81,5.41,6.57,5.13
2022-02,Coton,76.73,6.1,4.25,5.99,3.21,4.05,1.1826,7.15,1.01,57.29,15920.0,5.79,122.87,45.53,1.23,123.95,32.51,5.0,4.19,6.45,3.88
2022-03,Cacao,2793.08,6.64,4.05,6.44,3.27,4.45,1.2092,7.78,1.06,57.57,16109.0,6.12,123.3,54.81,-0.5,123.45,12.14,4.59,5.62,7.02,4.9
2022-03,Café,1653.7,6.37,3.45,5.74,3.37,4.25,1.1711,7.51,1.09,57.41,16180.0,6.79,119.51,52.82,0.68,91.7,10.87,4.36,4.21,7.29,1.36
2022-03,Maïs,281.5,5.97,3.99,6.19,3.7,4.01,1.2195,7.6,1.08,57.62,16037.0,6.01,115.69,54.86,0.17,104.2,196.67,4.87,2.96,8.16,5.38
2022-03,Soja,442.24,7.41,4.27,5.55,3.77,3.2,1.1898,8.17,1.13,56.81,16091.0,5.74,120.49,46.56,-0.72,103.54,127.56,5.8,5.86,6.58,3.49
2022-03,Coton,83.75,6.77,4.39,6.12,3.82,4.74,1.178,7.65,1.13,57.11,15611.0,6.05,120.5,57.45,0.37,123.52,32.57,4.99,3.37,7.28,3.72
2022-04,Cacao,2736.82,6.3,4.68,6.25,3.55,4.08,1.2059,7.33,1.17,57.23,16441.0,7.04,121.2,47.53,0.36,99.78,11.74,4.19,4.47,7.51,5.35
